0.2	0Mbps
0.4	0Mbps
0.6	0Mbps
0.8	0Mbps
1	0Mbps
1.2	0Mbps
1.4	0Mbps
1.6	0Mbps
1.8	0Mbps
2	0.00232Mbps
2.2	513.598Mbps
2.4	829.044Mbps
2.6	522.636Mbps
2.8	657.275Mbps
3	638.05Mbps
3.2	643.937Mbps
3.4	618.283Mbps
3.6	634.805Mbps
3.8	642.856Mbps
4	649.825Mbps
4.2	630.96Mbps
4.4	664.905Mbps
4.6	515.306Mbps
4.8	579.351Mbps
5	570.882Mbps
5.2	618.9Mbps
5.4	645.86Mbps
5.6	669.411Mbps
5.8	680.526Mbps
6	678.964Mbps
6.2	591.367Mbps
6.4	609.692Mbps
6.6	628.437Mbps
6.8	615.76Mbps
7	616.781Mbps
7.2	636.427Mbps
7.4	645.379Mbps
7.6	614.979Mbps
7.8	642.556Mbps
8	618.163Mbps
8.2	655.593Mbps
8.4	632.522Mbps
8.6	637.809Mbps
8.8	629.759Mbps
9	633.363Mbps
9.2	654.932Mbps
9.4	581.995Mbps
9.6	585.239Mbps
9.8	613.237Mbps
10	617.923Mbps
10.2	639.191Mbps
10.4	621.768Mbps
10.6	621.588Mbps
10.8	667.008Mbps
11	563.07Mbps
11.2	576.287Mbps
11.4	629.879Mbps
11.6	631.741Mbps
11.8	646.22Mbps
12	638.17Mbps
12.2	629.218Mbps
12.4	571.841Mbps
12.6	604.885Mbps
12.8	613.837Mbps
13	651.628Mbps
13.2	614.558Mbps
13.4	633.484Mbps
13.6	640.573Mbps
13.8	624.411Mbps
14	646.341Mbps
14.2	670.313Mbps
14.4	641.594Mbps
14.6	637.869Mbps
14.8	646.22Mbps
15	613.657Mbps
15.2	513.564Mbps
15.4	609.091Mbps
15.6	655.112Mbps
15.8	612.456Mbps
16	629.398Mbps
16.2	634.625Mbps
16.4	611.554Mbps
16.6	641.594Mbps
16.8	603.864Mbps
17	606.327Mbps
17.2	625.253Mbps
17.4	631.08Mbps
17.6	633.844Mbps
17.8	646.1Mbps
18	619.665Mbps
18.2	638.17Mbps
18.4	615.82Mbps
18.6	620.927Mbps
18.8	631.681Mbps
19	624.472Mbps
19.2	629.278Mbps
19.4	614.979Mbps
19.6	624.952Mbps
19.8	636.247Mbps
20	625.974Mbps
20.2	631.681Mbps
20.4	618.103Mbps
20.6	632.342Mbps
20.8	642.616Mbps
21	635.526Mbps
21.2	623.811Mbps
21.4	630.96Mbps
21.6	648.203Mbps
21.8	627.656Mbps
22	606.808Mbps
22.2	606.988Mbps
22.4	631.321Mbps
22.6	609.512Mbps
22.8	632.943Mbps
23	629.398Mbps
23.2	610.473Mbps
23.4	628.737Mbps
23.6	621.347Mbps
23.8	621.167Mbps
24	629.218Mbps
24.2	654.632Mbps
24.4	621.167Mbps
